Appendix C. Traffic Count Data Sheets




                                   Appendix C - 1
Appendix C - 2
AC Transit East Bay BRT - Traffic Count Sheet Listing

Intersection                                            Page
                                                                    17:30        0      0     0  63            0      0     0  88            0    133    20  26        18 106         310  39   803
        64                                              0       0
                                                                    17:45        0      0     0  69            0      0     0  76            0    101    28  52        18 146         345  48   883
1834   506                                              0

       1264
                                                            N
                              0   496    77

                                  573
                                                                    Total        0      0     0     600        0      0     0     505        0    864   129     221    120      927 2121     511      5998
                                                                    Peak         0      0     0     268        0      0     0     305        0    496    77     113     64      506 1264     193      3286

Intersection Statistics                                             Approach Statistics
Per    Peak Hour   Pk Hr Vol      Peak Intvl   Pk Intv Vol          Per     Peak Hour       Pk Hr Vol     Peak Hour       Pk Hr Vol     Peak Hour       Pk Hr Vol     Peak Hour       Pk Hr Vol
AM      8:00 AM      1841          8:45 AM         572              AM       8:00 AM           92          8:00 AM           89          7:45 AM           635         8:00 AM          1027
MID                                                                 MID
PM      5:00 PM        3286       5:45 PM         883               PM       4:00 PM          332          5:00 PM          305          5:00 PM          686          5:00 PM          2027

Comments                                                            Approach & Departure Volumes (No Peds)
                                                                    Per     Approach         Depart       Approach         Depart       Approach         Depart       Approach         Depart
                                                                    AM         0              792            0              738           845             744           1429             0
                                                                    MID        0               0             0               0             0               0             0               0
                                                                    PM         0              984            0              1056          993             2121          3168             0




                                                                                            0900437.TMC                                                                               Page 1 of 1
                                                                                                                                                                       Appendix C - 40
                                                                                                                                                           Traffic Research & Analysis, Inc.
                                                                                                                                                             3844 East Indian School Road
                                                                                                                                                                         Phoenix, AZ 85018
                                                                                                                                                                             (602) 840-1500




Intersection TMC:       R900437
Count Date:               10/27/2009                                      From North                    From East                     From South                    From West                     INTSEC
                                                                      TELEGRAPH AVE   DWIGHT WY                                   TELEGRAPH AVE  DWIGHT WY
                                                                  Time LT Thru RT Ped LT Thru RT                              Ped LT Thru RT Ped LT Thru RT                                Ped TOTAL
                            0
  AM              0         0    0


                                                      0

       0                                              0       0

 0     0                                              0

       0
                                                          N
                            0    0     0

                                 0
                                                                  Total        0      0     0       0        0      0     0       0        0      0     0       0        0      0      0      0        0
                                                                  Peak                                                                                                                                 0

                                                                  Time    LT       Thru   RT    Ped     LT       Thru   RT    Ped     LT       Thru   RT     Ped    LT       Thru   RT     Ped TOTAL
                            0
 MID              0         0    0


                                                      0

       0                                              0       0

 0     0                                              0

       0
                                                          N
                            0    0     0

                                 0
                                                                  Total        0      0     0       0        0      0     0       0        0      0     0       0        0      0      0      0        0
                                                                  Peak                                                                                                                                 0

                                                                  Time    LT       Thru   RT Ped        LT       Thru   RT Ped        LT       Thru   RT Ped        LT       Thru   RT Ped TOTAL
 PM                         0
                                                                  17:00        0      0     0   0            0      0     0   0            0      0     0   0            0      0   156   0   156
                                                                  17:15        0      0     0   0            0      0     0   0            0      0     0   0            0      0   162   0   162
17:00             0         0    0
                                                                  17:30        0      0     0   0            0      0     0   0            0      0     0   0            0      0   180   0   180
                                                                  17:45        0      0     0   0            0      0     0   0            0      0     0   0            0      0   168   0   168
                                                      0

       0                                              0       0

666    0                                              0

      666
                                                          N
                            0    0     0

                                 0
                                                                  Total        0      0     0       0        0      0     0       0        0      0     0       0        0      0   666       0      666
                                                                  Peak         0      0     0       0        0      0     0       0        0      0     0       0        0      0   666       0      666

Intersection Statistics                                           Approach Statistics
Per   Peak Hour   Pk Hr Vol     Peak Intvl   Pk Intv Vol          Per     Peak Hour       Pk Hr Vol     Peak Hour       Pk Hr Vol     Peak Hour       Pk Hr Vol     Peak Hour       Pk Hr Vol
AM                                                                AM
MID                                                               MID
PM     5:00 PM        666       5:30 PM         180               PM                                                                                                 5:00 PM           666

Comments                                                          Approach & Departure Volumes (No Peds)
                                                                  Per     Approach         Depart       Approach         Depart       Approach         Depart       Approach         Depart
                                                                  AM         0               0             0               0             0               0             0               0
                                                                  MID        0               0             0               0             0               0             0               0
                                                                  PM         0               0             0               0             0              666           666              0




                                                                                          R900437.TMC                                                                               Page 1 of 1
                                                                                                                                                                     Appendix C - 41
                                                                                                                                                          Traffic Research & Analysis, Inc.
                                                                                                                                                            3844 East Indian School Road
                                                                                                                                                                        Phoenix, AZ 85018
                                                                                                                                                                            (602) 840-1500




Intersection TMC:          B900437
Count Date:                   9/23/2009                                  From North                    From East                     From South
                                                                                                                                       INTSEC
                                                                                                                                                                     From West
                                                                         TELEGRAPH AVE    DWIGHT WY      TELEGRAPH AVE   DWIGHT WY
                                                                 Time     LT Thru RT Ped LT Thru RT Ped LT Thru RT Ped LT Thru RT Ped TOTAL
 AM                        0
                                                                 7:00       0   0    0  0    0    0 0  0    0   8    1 0    0    0 0 0      9
                                                                 7:15       0   0    0  0    0    0 0  0    0   3    0 0    0    0 0 0      3
08:00             0        0    0
                                                                 7:30       0   0    0  0    0    0 0  0    0   7    0 0    1    0 0 0      8
                                                                 7:45       0   0    0  0    0    0 0  0    0  19    0 0    2    2 0 0     23
                                                                 8:00       0   0    0  0    0    0 0  0    0  21    0 0    1    1 0 0     23
                                                     0
                                                                 8:15       0   0    0  0    0    0 0  0    0  10    1 0    3    2 0 0     16
                                                                 8:30       0   0    0  0    0    0 0  0    0  14    1 0    0    0 0 0     15
       9                                             0       0
                                                                 8:45       0   0    0  0    0    0 0  0    0  24    0 0    5    1 0 0     30
 13    4                                             0

       0
                                                         N
                           0   69     2

                               71
                                                                 Total        0      0     0       0        0      0     0       0        0    106     3         0    12         6      0        0   127
                                                                 Peak         0      0     0       0        0      0     0       0        0     69     2         0     9         4      0        0    84

                                                                 Time    LT       Thru   RT    Ped     LT       Thru   RT    Ped     LT       Thru   RT        Ped   LT       Thru   RT        Ped TOTAL
                           0
 MID              0        0    0


                                                     0

       0                                             0       0

 0     0                                             0

       0
                                                         N
                           0    0     0

                                0
                                                                 Total        0      0     0       0        0      0     0       0        0      0     0         0        0      0      0        0     0
                                                                 Peak                                                                                                                                  0

                                                                 Time    LT       Thru   RT Ped        LT       Thru   RT Ped        LT       Thru   RT Ped          LT       Thru   RT Ped TOTAL
 PM                        0
                                                                 16:00        0      0     0   0            0      0     0   0            0     14     6   0              0      3     0   0   23
                                                                 16:15        0      0     0   0            0      0     0   0            0     12     1   0              0      1     0   0   14
17:00             0        0    0
                                                                 16:30        0      0     0   0            0      0     0   0            0     10     3   0              2      0     2   0   17
                                                                 16:45        0      0     0   0            0      0     0   0            0      9     1   0              0      2     0   0   12
                                                                 17:00        0      0     0   0            0      0     0   0            0     13     5   0              0      2     0   0   20
                                                     0
                                                                 17:15        0      0     0   0            0      0     0   0            0     10     2   0              0      3     0   0   15
                                                                 17:30        0      0     0   0            0      0     0   0            0     13     2   0              1      0     5   0   21
       2                                             0       0
                                                                 17:45        0      0     0   0            0      0     0   0            0     16     2   0              1      0     0   0   19
 12    5                                             0

       5
                                                         N
                           0   52     11

                               63
                                                                 Total        0      0     0       0        0      0     0       0        0     97    22         0        4     11      7        0   141
                                                                 Peak         0      0     0       0        0      0     0       0        0     52    11         0        2      5      5        0    75

Intersection Statistics                                          Approach Statistics
Per   Peak Hour   Pk Hr Vol    Peak Intvl   Pk Intv Vol          Per     Peak Hour       Pk Hr Vol     Peak Hour       Pk Hr Vol     Peak Hour       Pk Hr Vol       Peak Hour       Pk Hr Vol
AM     8:00 AM       84         8:45 AM         30               AM                                                                   8:00 AM           71            8:00 AM           13
MID                                                              MID
PM     5:00 PM        75        4:00 PM         23               PM                                                                   5:00 PM             63          4:45 PM             13

Comments                                                         Approach & Departure Volumes (No Peds)
                                                                 Per     Approach         Depart       Approach         Depart       Approach         Depart         Approach         Depart
                                                                 AM         0              118            0               9            109              0               18              0
                                                                 MID        0               0             0               0             0               0               0               0
                                                                 PM         0              101            0               33           119              7               22              0




                                                                                         B900437.TMC                                                                                 Page 1 of 1
                                                                                                                                                                      Appendix C - 42
                                                                                                                                                               Traffic Research & Analysis, Inc.
                                                                                                                                                                 3844 East Indian School Road
                                                                                                                                                                             Phoenix, AZ 85018
                                                                                                                                                                                 (602) 840-1500




Intersection TMC:        0900421
Count Date:                 9/22/2009                                      From North                     From East                       From South
                                                                                                                                             INTSEC
                                                                                                                                                                        From West
                                                                           COLLEGE AVE      DWIGHT WY      COLLEGE AVE       DWIGHT WY
                                                                   Time     LT Thru RT Ped LT Thru RT Ped LT Thru RT Ped LT Thru RT Ped TOTAL
 AM                      125
                                                                   7:00       1  11    0  0    0    0 0  1    0  38    11  1    3   30  4  2     102
                                                                   7:15       1  22    0  1    0    0 0  2    0  40     9 11    2   27  9  3     127
07:45             0      122      3
                                                                   7:30       0  33    0  4    0    0 0  3    0  79     7  6    7   34 10 18     201
                                                                   7:45       0  21    0  4    0    0 0 19    0  77    12 40   16   64 24 70     347
                                                                   8:00       0  26    0  6    0    0 0 12    0  69     9 21   21   62 19 21     266
                                                       0
                                                                   8:15       0  39    0  7    0    0 0  2    0  72    15 11   10   57 21 13     247
                                                                   8:30       3  36    0  1    0    0 0  2    0  69    17 17   11   69 21  3     249
      58                                               0       0
                                                                   8:45       2  28    0  1    0    0 0 10    0  91    19 16   14   61 17 31     290
395   252                                              0

      85
                                                           N
                             0   287    53

                                 340
                                                                   Total         7    216     0      24        0      0     0        51        0    535    99     123    84       404   125      161   1829
                                                                   Peak          3    122     0      18        0      0     0        35        0    287    53      89    58       252    85      107   1109

                                                                   Time     LT       Thru   RT    Ped     LT       Thru   RT        Ped   LT       Thru   RT     Ped    LT       Thru   RT     Ped TOTAL
                             0
 MID              0          0    0


                                                       0

       0                                               0       0

 0     0                                               0

       0
                                                           N
                             0    0     0

                                  0
                                                                   Total         0      0     0       0        0      0     0         0        0      0     0       0        0      0      0       0      0
                                                                   Peak                                                                                                                                   0

                                                                   Time     LT       Thru   RT Ped        LT       Thru   RT Ped          LT       Thru   RT Ped        LT       Thru   RT Ped TOTAL
 PM                      339
                                                                   16:00      9        63     0  18            0      0     0   0              0     46    17   6         9        88    28  11   295
                                                                   16:15      2        53     0   3            0      0     0   0              0     55     8   0        12        90    24   6   253
17:00             0      315     24
                                                                   16:30      3        59     0  13            0      0     0   0              0     49    15   3         4        66    31  13   256
                                                                   16:45      8        55     0  10            0      0     0   0              0     51    12   8         6        67    33  32   282
                                                                   17:00      6        87     0  14            0      0     0   3              0     58    18  14        10        82    38  20   350
                                                       0
                                                                   17:15     11        90     0  25            0      0     0  13              0     66    14  17        12       107    43  27   425
                                                                   17:30      5        78     0  23            0      0     0  11              0     66     9   9        22        86    42   7   358
      61                                               0       0
                                                                   17:45      2        60     0  16            0      0     0  15              0     65    11  11        17        82    36  11   326
577   357                                              0

      159
                                                           N
                             0   255    52

                                 307
                                                                   Total     46       545     0     122        0      0     0        42        0    456   104      68    92       668   275      127   2545
                                                                   Peak      24       315     0      78        0      0     0        42        0    255    52      51    61       357   159       65   1459

Intersection Statistics                                            Approach Statistics
Per   Peak Hour   Pk Hr Vol      Peak Intvl   Pk Intv Vol          Per     Peak Hour        Pk Hr Vol     Peak Hour       Pk Hr Vol       Peak Hour       Pk Hr Vol     Peak Hour       Pk Hr Vol
AM     7:45 AM      1109          7:45 AM         347              AM       8:00 AM            149         7:15 AM           36            7:45 AM           429         7:45 AM           502
MID                                                                MID
PM     5:00 PM        1459       5:15 PM         425               PM       5:00 PM           417          5:00 PM             42          5:00 PM          358          5:00 PM           642

Comments                                                           Approach & Departure Volumes (No Peds)
                                                                   Per     Approach          Depart       Approach         Depart         Approach         Depart       Approach         Depart
                                                                   AM        223              619            0              510             634             341           613              0
                                                                   MID        0                0             0               0               0               0             0               0
                                                                   PM        591              548            0              818             560             820           1035             0




                                                                                            0900421.TMC                                                                                 Page 1 of 1
                                                                                                                                                                         Appendix C - 43
                                                                                                                                                            Traffic Research & Analysis, Inc.
                                                                                                                                                              3844 East Indian School Road
                                                                                                                                                                          Phoenix, AZ 85018
                                                                                                                                                                              (602) 840-1500




Intersection TMC:       B900421
Count Date:                9/22/2009                                       From North                    From East                     From South
                                                                                                                                         INTSEC
                                                                                                                                                                       From West
                                                                           COLLEGE AVE      DWIGHT WY      COLLEGE AVE     DWIGHT WY
                                                                   Time     LT Thru RT Ped LT Thru RT Ped LT Thru RT Ped LT Thru RT Ped TOTAL
 AM                         7
                                                                   7:00       1   1    0  0    0    0 0  0    0   2    0 0    0    0 0 0      4
                                                                   7:15       0   1    0  0    0    0 0  0    0   1    0 0    0    2 0 0      4
08:00             0         5     2
                                                                   7:30       2   3    0  0    0    0 0  0    0  12    0 0    0    2 0 0     19
                                                                   7:45       0   2    0  0    0    0 0  0    0  17    4 0    0    1 0 0     24
                                                                   8:00       0   2    0  0    0    0 0  0    0  16    0 0    0    4 0 0     22
                                                       0
                                                                   8:15       2   3    0  0    0    0 0  0    0  11    0 0    2    7 0 0     25
                                                                   8:30       0   0    0  0    0    0 0  0    0  14    0 0    0    0 0 0     14
       2                                               0       0
                                                                   8:45       0   0    0  0    0    0 0  0    0  26    0 0    0   10 0 0     36
 23   21                                               0

       0
                                                           N
                            0    67     0

                                 67
                                                                   Total        5     12     0       0        0      0     0       0        0     99     4         0        2     26      0        0   148
                                                                   Peak         2      5     0       0        0      0     0       0        0     67     0         0        2     21      0        0    97

                                                                   Time    LT       Thru   RT    Ped     LT       Thru   RT    Ped     LT       Thru   RT        Ped   LT       Thru   RT        Ped TOTAL
                            0
 MID              0         0     0


                                                       0

       0                                               0       0

 0     0                                               0

       0
                                                           N
                            0     0     0

                                  0
                                                                   Total        0      0     0       0        0      0     0       0        0      0     0         0        0      0      0        0     0
                                                                   Peak                                                                                                                                  0

                                                                   Time    LT Thru         RT Ped        LT       Thru   RT Ped        LT       Thru   RT Ped          LT       Thru   RT Ped TOTAL
 PM                     105
                                                                   16:00    12   9           0   0            0      0     0   0            0      7     7   0              2      3     1   0   41
                                                                   16:15    12   3           0   0            0      0     0   0            0      2     3   0              1      2     2   0   25
17:00             0         53   52
                                                                   16:30     9   6           0   0            0      0     0   0            0      2     0   0              0      0     0   0   17
                                                                   16:45     8   4           0   0            0      0     0   0            0      5     1   0              5      3     0   0   26
                                                                   17:00    24  13           0   0            0      0     0   0            0      3     3   0              8      4     0   0   55
                                                       0
                                                                   17:15    11  11           0   0            0      0     0   0            0      9     7   0              1      2     0   0   41
                                                                   17:30     9  16           0   0            0      0     0   0            0      6     2   0              0      6     0   0   39
      13                                               0       0
                                                                   17:45     8  13           0   0            0      0     0   0            0      3     2   0              4      2     1   0   33
 28   14                                               0

       1
                                                           N
                            0    21     14

                                 35
                                                                   Total     93       75     0       0        0      0     0       0        0     37    25         0    21        22      4        0   277
                                                                   Peak      52       53     0       0        0      0     0       0        0     21    14         0    13        14      1        0   168

Intersection Statistics                                            Approach Statistics
Per   Peak Hour   Pk Hr Vol      Peak Intvl   Pk Intv Vol          Per     Peak Hour       Pk Hr Vol     Peak Hour       Pk Hr Vol     Peak Hour       Pk Hr Vol       Peak Hour       Pk Hr Vol
AM     8:00 AM       97           8:45 AM         36               AM       7:30 AM           14                                        8:00 AM           67            8:00 AM           23
MID                                                                MID
PM     5:00 PM        168        5:00 PM          55               PM       5:00 PM          105                                        4:45 PM             36          4:45 PM             29

Comments                                                           Approach & Departure Volumes (No Peds)
                                                                   Per     Approach         Depart       Approach         Depart       Approach         Depart         Approach         Depart
                                                                   AM         17             101            0               35           103              12              28              0
                                                                   MID        0               0             0               0             0               0               0               0
                                                                   PM        168              58            0              140            62              79              47              0




                                                                                           B900421.TMC                                                                                 Page 1 of 1
                                                                                                                                                                        Appendix C - 44
                                                                                                                                                                Traffic Research & Analysis, Inc.
                                                                                                                                                                  3844 East Indian School Road
                                                                                                                                                                              Phoenix, AZ 85018
                                                                                                                                                                                  (602) 840-1500




Intersection TMC:        0900422
Count Date:                 9/22/2009                                         From North                     From East                     From South
                                                                                                                                                 INTSEC
                                                                                                                                                                         From West
                                                                              PIEDMONT AVE      DWIGHT WY       WARRING ST       DWIGHT WY
                                                                      Time     LT Thru RT Ped LT Thru RT Ped LT Thru RT Ped LT Thru RT Ped TOTAL
 AM                      291
                                                                      7:00        0  27    0  3    2    0  4  1    0  79   15  2    8   19 15  2     177
                                                                      7:15        2  40    0  2    5    0  9  5    0 117   19  5    7   17 11  5     244
07:30             0      284      7
                                                                      7:30        2  56    0 10    2    0 24 29    0 128   13 14   10   16 22  7     333
                                                                      7:45        0  59    0 14    8    0 24 13    0 129   19 38   22   23 22 15     386
                                                                      8:00        2  90    0  8   10    0  7  0    0 113   13 13   16   27 30  3     332
                                                       62
                                                                      8:15        3  79    0  9    4    0  7  1    0 100    8  6   16   26 30  2     291
                                                                      8:30        8  54    0  7    6    0 20  7    0 106   15 12   17   33 39  8     332
      64                                               0        86
                                                                      8:45        2  51    0 11    6    0 13  9    0 130   16 18   18   45 29 12     360
260   92                                               24

      104
                                                            N
                             0   470    53

                                 523
                                                                      Total     19       456     0      64     43        0   108     65         0    902   118     108    114      206   198      54   2455
                                                                      Peak       7       284     0      41     24        0    62     43         0    470    53      71     64       92   104      27   1342

                                                                      Time     LT       Thru   RT    Ped     LT       Thru   RT    Ped     LT       Thru   RT     Ped    LT       Thru   RT     Ped TOTAL
                             0
 MID              0          0    0


                                                       0

       0                                               0         0

 0     0                                               0

       0
                                                            N
                             0    0     0

                                  0
                                                                      Total         0      0     0       0        0      0     0       0        0      0     0       0        0      0      0      0      0
                                                                      Peak                                                                                                                                0

                                                                      Time     LT       Thru   RT Ped        LT Thru         RT Ped        LT       Thru   RT Ped        LT Thru         RT Ped TOTAL
 PM                      415
                                                                      16:00         9    119     0  18        10   0          14   1            0     80     7  12        18  31          34  13   366
                                                                      16:15         4     97     0  14         9   0          17   5            0     93     5   2        17  29          58   4   354
17:00             0      402     13
                                                                      16:30         1     96     0  18         6   0           6   2            0     95    10   8        15  20          43   4   324
                                                                      16:45         3     78     0   6         2   0          14   1            0     79    12   9        22  26          50   8   310
                                                                      17:00         1    118     0  10        12   0          21   2            0    102     9   8        22  21          57  11   394
                                                       80
                                                                      17:15         2    103     0  36         7   0          26   7            0     98     5  30        15  48          65  20   462
                                                                      17:30         6    107     0  19         2   0          21   4            0    119    14  15        28  30          57   3   425
      90                                               0        105
                                                                      17:45         4     74     0  37         4   0          12  15            0    109    21   8        25  33          38  10   390
439   132                                              25

      217
                                                            N
                             0   428    49

                                 477
                                                                      Total     30       792     0     158     52        0   131     37         0    775    83      92    162      238   402      73   3025
                                                                      Peak      13       402     0     102     25        0    80     28         0    428    49      61     90      132   217      44   1671

Intersection Statistics                                               Approach Statistics
Per   Peak Hour   Pk Hr Vol      Peak Intvl   Pk Intv Vol             Per     Peak Hour        Pk Hr Vol     Peak Hour       Pk Hr Vol     Peak Hour       Pk Hr Vol     Peak Hour       Pk Hr Vol
AM     7:30 AM      1342          7:45 AM         386                 AM       7:45 AM            333         7:15 AM           136         7:15 AM           621         8:00 AM           351
MID                                                                   MID
PM     5:00 PM        1671       5:15 PM         462                  PM       5:00 PM           517          5:00 PM          133          5:00 PM          538          4:45 PM           483

Comments                                                              Approach & Departure Volumes (No Peds)
                                                                      Per     Approach          Depart       Approach         Depart       Approach         Depart       Approach         Depart
